ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,andy,arti,azu,barrel,bebr,bitto,cako,chaeix,chaos,collen,dank,dans,dem,deo,dire,dis,dowolf,drj133,eggert,ema,fiop,fl81,gall,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,junk,kama,kcf,kecleon,kotetsu,lefty,lem,lies,mac,max,mega,mihark,mist,moonr,neko,nfun,orange,p0,para,place,plas,pony,prince,prod,prody,pyre,rev,rwlh,sceptile,sergio,shark,skull,sly,snake,sniff,suprak,taffer,tazzy,tgs,tked,tre,tsunami,tunnel,turus,uf8,w1ndzs,wave,xx521,zel
184,Late Goodbye,"BT ""ultimate""",27,23,50,4,Late Goodbye,,Late Goodbye,"BT ""ultimate""",Late Goodbye,Late Goodbye,,,,"BT ""ultimate""",,Late Goodbye,Late Goodbye,"BT ""ultimate""",,,"BT ""ultimate""",,Late Goodbye,Late Goodbye,,Late Goodbye,"BT ""ultimate""",,"BT ""ultimate""",Late Goodbye,,"BT ""ultimate""",Late Goodbye,"BT ""ultimate""","BT ""ultimate""","BT ""ultimate""",Late Goodbye,Late Goodbye,"BT ""ultimate""",Late Goodbye,,,Late Goodbye,Late Goodbye,,,"BT ""ultimate""",Late Goodbye,,"BT ""ultimate""",Late Goodbye,,,,,,"BT ""ultimate""","BT ""ultimate""",,"BT ""ultimate""","BT ""ultimate""",Late Goodbye,Late Goodbye,,Late Goodbye,"BT ""ultimate""","BT ""ultimate""",,Late Goodbye,,"BT ""ultimate""",,Late Goodbye,Late Goodbye,,,,,,Late Goodbye,,Late Goodbye,,"BT ""ultimate""","BT ""ultimate""","BT ""ultimate""",Late Goodbye,,Late Goodbye,
185,GET ENUF,Remnants of Celestial (Stage 3),26,23,49,3,GET ENUF,,Remnants of Celestial (Stage 3),GET ENUF,GET ENUF,GET ENUF,,,,GET ENUF,,GET ENUF,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),,,Remnants of Celestial (Stage 3),,GET ENUF,GET ENUF,,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),GET ENUF,,Remnants of Celestial (Stage 3),GET ENUF,Remnants of Celestial (Stage 3),GET ENUF,Remnants of Celestial (Stage 3),GET ENUF,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),GET ENUF,,,GET ENUF,Remnants of Celestial (Stage 3),,,GET ENUF,Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),GET ENUF,,,,,,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),,GET ENUF,GET ENUF,,Remnants of Celestial (Stage 3),GET ENUF,Remnants of Celestial (Stage 3),,GET ENUF,,GET ENUF,,GET ENUF,,GET ENUF,GET ENUF,,,,,,GET ENUF,,GET ENUF,,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),GET ENUF,,Remnants of Celestial (Stage 3),
186,Herald of Darkness (Video Edit),Fairytale Poison and Solitude,17,29,46,12,Fairytale Poison and Solitude,,Herald of Darkness (Video Edit),Fairytale Poison and Solitude,Herald of Darkness (Video Edit),Herald of Darkness (Video Edit),,,,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,Herald of Darkness (Video Edit),Fairytale Poison and Solitude,,,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,,,,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,Herald of Darkness (Video Edit),,Herald of Darkness (Video Edit),Herald of Darkness (Video Edit),,Fairytale Poison and Solitude,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,Herald of Darkness (Video Edit),Fairytale Poison and Solitude,,,Fairytale Poison and Solitude,Herald of Darkness (Video Edit),,,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,,,,,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,Herald of Darkness (Video Edit),Fairytale Poison and Solitude,,Herald of Darkness (Video Edit),Fairytale Poison and Solitude,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,Herald of Darkness (Video Edit),,,,Herald of Darkness (Video Edit),,Herald of Darkness (Video Edit),,Herald of Darkness (Video Edit),,Fairytale Poison and Solitude,Herald of Darkness (Video Edit),Fairytale Poison and Solitude,,Fairytale Poison and Solitude,Herald of Darkness (Video Edit),
187,heaven,Light Velocity,16,30,46,14,Light Velocity,,Light Velocity,Light Velocity,heaven,Light Velocity,,,,heaven,,Light Velocity,Light Velocity,Light Velocity,,,Light Velocity,,Light Velocity,,,,heaven,,Light Velocity,heaven,,heaven,Light Velocity,,heaven,heaven,Light Velocity,,Light Velocity,Light Velocity,,,Light Velocity,Light Velocity,,,Light Velocity,Light Velocity,,heaven,Light Velocity,,,,,,heaven,Light Velocity,,heaven,heaven,,heaven,heaven,Light Velocity,,Light Velocity,,heaven,,heaven,,Light Velocity,Light Velocity,,,,Light Velocity,,Light Velocity,,Light Velocity,,heaven,Light Velocity,Light Velocity,,Light Velocity,Light Velocity,
188,CODENAMEZ,Seaside Vacation,19,26,45,7,Seaside Vacation,,CODENAMEZ,Seaside Vacation,Seaside Vacation,CODENAMEZ,,,,Seaside Vacation,,CODENAMEZ,Seaside Vacation,CODENAMEZ,,,Seaside Vacation,,Seaside Vacation,,,,,,Seaside Vacation,CODENAMEZ,,Seaside Vacation,CODENAMEZ,,CODENAMEZ,CODENAMEZ,CODENAMEZ,,Seaside Vacation,Seaside Vacation,,,Seaside Vacation,Seaside Vacation,,,CODENAMEZ,Seaside Vacation,,Seaside Vacation,CODENAMEZ,,,,,,Seaside Vacation,Seaside Vacation,,CODENAMEZ,Seaside Vacation,,Seaside Vacation,CODENAMEZ,CODENAMEZ,,Seaside Vacation,,Seaside Vacation,,Seaside Vacation,,Seaside Vacation,CODENAMEZ,,,,CODENAMEZ,,Seaside Vacation,,Seaside Vacation,,CODENAMEZ,CODENAMEZ,Seaside Vacation,,CODENAMEZ,Seaside Vacation,
189,raputa,requiemforxxx -InParadisum-,21,24,45,3,requiemforxxx -InParadisum-,,,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,raputa,,,,,,raputa,raputa,raputa,,,requiemforxxx -InParadisum-,,raputa,requiemforxxx -InParadisum-,raputa,,raputa,,requiemforxxx -InParadisum-,raputa,,,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,raputa,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,raputa,,,raputa,raputa,,,requiemforxxx -InParadisum-,raputa,,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,,,,,,raputa,requiemforxxx -InParadisum-,,raputa,,,raputa,raputa,requiemforxxx -InParadisum-,,requiemforxxx -InParadisum-,,raputa,,raputa,,raputa,requiemforxxx -InParadisum-,,,,,,requiemforxxx -InParadisum-,,requiemforxxx -InParadisum-,,raputa,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,,requiemforxxx -InParadisum-,
190,Kataklysm in the Computer,Thermosphere,27,20,47,7,Kataklysm in the Computer,,Thermosphere,Kataklysm in the Computer,Thermosphere,Thermosphere,,,,,,Thermosphere,Thermosphere,Kataklysm in the Computer,,,Thermosphere,,Kataklysm in the Computer,Kataklysm in the Computer,Kataklysm in the Computer,,,,Thermosphere,Kataklysm in the Computer,,Thermosphere,Thermosphere,Kataklysm in the Computer,Thermosphere,Kataklysm in the Computer,Kataklysm in the Computer,Kataklysm in the Computer,Thermosphere,Kataklysm in the Computer,,,Thermosphere,Kataklysm in the Computer,,,Thermosphere,Thermosphere,,Kataklysm in the Computer,Kataklysm in the Computer,,,,,,Kataklysm in the Computer,Thermosphere,,Kataklysm in the Computer,,,Kataklysm in the Computer,Thermosphere,Kataklysm in the Computer,,Kataklysm in the Computer,,Kataklysm in the Computer,,Kataklysm in the Computer,,Kataklysm in the Computer,Kataklysm in the Computer,,,,,,Kataklysm in the Computer,,Thermosphere,,Thermosphere,Kataklysm in the Computer,Thermosphere,Kataklysm in the Computer,Thermosphere,Kataklysm in the Computer,
191,Warcry,Last Battle -T260G-,29,18,47,11,Warcry,,Warcry,Last Battle -T260G-,Last Battle -T260G-,Last Battle -T260G-,,,,,,Warcry,Warcry,Last Battle -T260G-,,,Last Battle -T260G-,,Warcry,Warcry,Warcry,,Last Battle -T260G-,,Warcry,Warcry,,,Last Battle -T260G-,Last Battle -T260G-,Warcry,Last Battle -T260G-,Warcry,Warcry,Warcry,Warcry,,,Warcry,Warcry,,,Warcry,Warcry,,Last Battle -T260G-,Warcry,,,,,,Warcry,Last Battle -T260G-,,Warcry,,,Last Battle -T260G-,Last Battle -T260G-,Warcry,,Warcry,,Warcry,,Warcry,,Last Battle -T260G-,Warcry,,,,,,Warcry,,Last Battle -T260G-,,Last Battle -T260G-,Last Battle -T260G-,Warcry,Warcry,Warcry,Last Battle -T260G-,
192,The Grand Finale,Name Entry,28,24,52,4,The Grand Finale,,The Grand Finale,Name Entry,The Grand Finale,Name Entry,,,,Name Entry,The Grand Finale,,Name Entry,The Grand Finale,,,The Grand Finale,,The Grand Finale,The Grand Finale,Name Entry,The Grand Finale,The Grand Finale,,The Grand Finale,The Grand Finale,,The Grand Finale,The Grand Finale,Name Entry,Name Entry,Name Entry,The Grand Finale,Name Entry,Name Entry,Name Entry,,,Name Entry,Name Entry,,,Name Entry,The Grand Finale,Name Entry,,The Grand Finale,,,,,,Name Entry,The Grand Finale,,The Grand Finale,,The Grand Finale,The Grand Finale,Name Entry,Name Entry,The Grand Finale,The Grand Finale,,Name Entry,,Name Entry,,Name Entry,,,,,The Grand Finale,,Name Entry,,Name Entry,,The Grand Finale,The Grand Finale,Name Entry,The Grand Finale,The Grand Finale,The Grand Finale,
193,Awakening ~ Nürburgring Suite,Aria Math,27,25,52,2,Awakening ~ Nürburgring Suite,,Aria Math,Awakening ~ Nürburgring Suite,Aria Math,Aria Math,,,,Aria Math,Aria Math,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,,Awakening ~ Nürburgring Suite,,Aria Math,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Aria Math,,Awakening ~ Nürburgring Suite,Aria Math,,Aria Math,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Aria Math,Aria Math,Aria Math,Aria Math,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,,Aria Math,Aria Math,Aria Math,,Awakening ~ Nürburgring Suite,,,,,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,Aria Math,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Aria Math,Aria Math,Awakening ~ Nürburgring Suite,Aria Math,,Aria Math,,Aria Math,,Aria Math,,,,,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Aria Math,Aria Math,Awakening ~ Nürburgring Suite,
194,b10,Wild Woods,32,18,50,14,b10,,Wild Woods,b10,b10,b10,,,,b10,b10,,Wild Woods,b10,,,Wild Woods,,b10,b10,b10,b10,,,b10,b10,,b10,Wild Woods,b10,b10,b10,b10,b10,b10,b10,,,Wild Woods,Wild Woods,,,b10,b10,Wild Woods,,Wild Woods,,,,,,b10,Wild Woods,,Wild Woods,,Wild Woods,b10,b10,Wild Woods,Wild Woods,b10,,Wild Woods,,Wild Woods,,b10,,,,,b10,,b10,,Wild Woods,,b10,b10,Wild Woods,Wild Woods,,b10,
195,About That...,Spring Wind Skylark,23,26,49,3,Spring Wind Skylark,,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,About That...,,,,Spring Wind Skylark,,,About That...,About That...,,,Spring Wind Skylark,,Spring Wind Skylark,Spring Wind Skylark,About That...,About That...,,,Spring Wind Skylark,About That...,,Spring Wind Skylark,Spring Wind Skylark,,Spring Wind Skylark,About That...,About That...,About That...,Spring Wind Skylark,Spring Wind Skylark,,,About That...,About That...,,,About That...,Spring Wind Skylark,,Spring Wind Skylark,Spring Wind Skylark,,,,,,Spring Wind Skylark,Spring Wind Skylark,,About That...,Spring Wind Skylark,,About That...,Spring Wind Skylark,About That...,Spring Wind Skylark,Spring Wind Skylark,,About That...,,Spring Wind Skylark,,Spring Wind Skylark,About That...,,,,,,About That...,,About That...,,Spring Wind Skylark,About That...,Spring Wind Skylark,About That...,About That...,About That...,
196,Softbank,Love Psalm,28,20,48,8,Softbank,,Love Psalm,Love Psalm,Love Psalm,Love Psalm,,,,Softbank,,,Softbank,Softbank,,,Softbank,,Softbank,Love Psalm,Softbank,Love Psalm,,,Softbank,Love Psalm,,Softbank,Softbank,,Softbank,Softbank,Softbank,Love Psalm,Softbank,Softbank,,,Love Psalm,Softbank,,,Softbank,Love Psalm,,Softbank,Softbank,,,,,,Softbank,Love Psalm,,Softbank,Softbank,,Softbank,Love Psalm,Love Psalm,Softbank,Love Psalm,,Love Psalm,,Softbank,,Love Psalm,Love Psalm,,,,,,Love Psalm,,Love Psalm,,Softbank,Softbank,Softbank,Love Psalm,,Softbank,
197,Zero Gravity Area,Nocturnal 2097 (Long Version),24,23,47,1,Zero Gravity Area,,Nocturnal 2097 (Long Version),Zero Gravity Area,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,,Zero Gravity Area,,,Zero Gravity Area,Zero Gravity Area,,,Nocturnal 2097 (Long Version),,Zero Gravity Area,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,,Zero Gravity Area,Zero Gravity Area,,Zero Gravity Area,Zero Gravity Area,,Zero Gravity Area,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,Zero Gravity Area,Nocturnal 2097 (Long Version),,,Nocturnal 2097 (Long Version),Zero Gravity Area,,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,,,,,,Zero Gravity Area,,Zero Gravity Area,Zero Gravity Area,,Zero Gravity Area,Zero Gravity Area,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),,Zero Gravity Area,,Zero Gravity Area,,Zero Gravity Area,Zero Gravity Area,,,,,,Zero Gravity Area,,Nocturnal 2097 (Long Version),,Zero Gravity Area,Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Nocturnal 2097 (Long Version),Zero Gravity Area,
198,Birdo II,"Farde Mal Diavolo -Destroy Evil, then Come-",22,24,46,2,"Farde Mal Diavolo -Destroy Evil, then Come-",,Birdo II,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,,,,,Birdo II,Birdo II,Birdo II,"Farde Mal Diavolo -Destroy Evil, then Come-",,Birdo II,,Birdo II,"Farde Mal Diavolo -Destroy Evil, then Come-",,,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",Birdo II,,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",Birdo II,"Farde Mal Diavolo -Destroy Evil, then Come-",Birdo II,Birdo II,Birdo II,,,"Farde Mal Diavolo -Destroy Evil, then Come-",Birdo II,,,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",Birdo II,,,,,,Birdo II,"Farde Mal Diavolo -Destroy Evil, then Come-",,Birdo II,,"Farde Mal Diavolo -Destroy Evil, then Come-",Birdo II,Birdo II,Birdo II,,,,Birdo II,,Birdo II,,Birdo II,,,,,,,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-","Farde Mal Diavolo -Destroy Evil, then Come-",Birdo II,"Farde Mal Diavolo -Destroy Evil, then Come-",,"Farde Mal Diavolo -Destroy Evil, then Come-",
199,Labyrinth IV - Petal Bridge,comment te dire adieu,25,24,49,1,Labyrinth IV - Petal Bridge,,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,comment te dire adieu,,,,,,Labyrinth IV - Petal Bridge,comment te dire adieu,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,,Labyrinth IV - Petal Bridge,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,comment te dire adieu,Labyrinth IV - Petal Bridge,comment te dire adieu,,Labyrinth IV - Petal Bridge,comment te dire adieu,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,,comment te dire adieu,comment te dire adieu,comment te dire adieu,,comment te dire adieu,comment te dire adieu,,,comment te dire adieu,Labyrinth IV - Petal Bridge,,,comment te dire adieu,Labyrinth IV - Petal Bridge,comment te dire adieu,comment te dire adieu,comment te dire adieu,,,,,,comment te dire adieu,comment te dire adieu,,comment te dire adieu,,comment te dire adieu,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,,,,comment te dire adieu,,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,,,,,,comment te dire adieu,,Labyrinth IV - Petal Bridge,,comment te dire adieu,comment te dire adieu,comment te dire adieu,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,Labyrinth IV - Petal Bridge,
200,Blue Desert Hotel,Norfair,33,17,50,16,Blue Desert Hotel,,,Blue Desert Hotel,Blue Desert Hotel,Blue Desert Hotel,,,,,,Blue Desert Hotel,Norfair,Norfair,Norfair,,Norfair,,Blue Desert Hotel,Blue Desert Hotel,Blue Desert Hotel,Blue Desert Hotel,Norfair,,Blue Desert Hotel,Blue Desert Hotel,,Blue Desert Hotel,Blue Desert Hotel,,Norfair,Norfair,Blue Desert Hotel,,Blue Desert Hotel,Blue Desert Hotel,,,Blue Desert Hotel,Blue Desert Hotel,,,Norfair,Blue Desert Hotel,Norfair,Blue Desert Hotel,Blue Desert Hotel,,,,,,Norfair,Blue Desert Hotel,,Norfair,,Blue Desert Hotel,Blue Desert Hotel,Norfair,Blue Desert Hotel,Blue Desert Hotel,Blue Desert Hotel,,Norfair,,Blue Desert Hotel,,Norfair,Norfair,,,,,,Blue Desert Hotel,,Blue Desert Hotel,,Norfair,Norfair,Blue Desert Hotel,Blue Desert Hotel,Blue Desert Hotel,Blue Desert Hotel,
201,Lunar Bass,Mechonis Field,21,28,49,7,Mechonis Field,,Mechonis Field,Mechonis Field,Mechonis Field,Lunar Bass,,,,,,Mechonis Field,Lunar Bass,Mechonis Field,Mechonis Field,,Mechonis Field,,Lunar Bass,Lunar Bass,Lunar Bass,Mechonis Field,Lunar Bass,,Lunar Bass,Lunar Bass,,Mechonis Field,Lunar Bass,,Mechonis Field,Mechonis Field,Lunar Bass,,Lunar Bass,Mechonis Field,,,Mechonis Field,Mechonis Field,,,Mechonis Field,Lunar Bass,Mechonis Field,Lunar Bass,Mechonis Field,,,,,,Mechonis Field,Mechonis Field,,Mechonis Field,,Lunar Bass,Lunar Bass,Mechonis Field,Lunar Bass,Mechonis Field,Lunar Bass,,,,Mechonis Field,,Mechonis Field,Mechonis Field,,,,,,Lunar Bass,,Mechonis Field,,Mechonis Field,Lunar Bass,Mechonis Field,Lunar Bass,,Lunar Bass,
202,Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),25,26,51,1,Tap de Papapaya (Long Version),,Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,,,,Tap de Papapaya (Long Version),Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),,Deserted - Younger Brother and Elder Sister and... (Stage3),,Tap de Papapaya (Long Version),,,Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),,Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),,Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),,,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),,,Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),,,,,,Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),,Deserted - Younger Brother and Elder Sister and... (Stage3),,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),,Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),,,,,,Tap de Papapaya (Long Version),,Deserted - Younger Brother and Elder Sister and... (Stage3),,Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),Tap de Papapaya (Long Version),Tap de Papapaya (Long Version),Deserted - Younger Brother and Elder Sister and... (Stage3),Deserted - Younger Brother and Elder Sister and... (Stage3),
203,Spiral of Erebos,The Apex of the World (Rain),28,22,50,6,Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,The Apex of the World (Rain),,,,,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,,The Apex of the World (Rain),,The Apex of the World (Rain),,,The Apex of the World (Rain),Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,The Apex of the World (Rain),Spiral of Erebos,The Apex of the World (Rain),The Apex of the World (Rain),Spiral of Erebos,Spiral of Erebos,,,The Apex of the World (Rain),The Apex of the World (Rain),,,Spiral of Erebos,Spiral of Erebos,,The Apex of the World (Rain),The Apex of the World (Rain),,,,,,Spiral of Erebos,The Apex of the World (Rain),,Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,The Apex of the World (Rain),,Spiral of Erebos,,The Apex of the World (Rain),,The Apex of the World (Rain),,The Apex of the World (Rain),The Apex of the World (Rain),,,,,,The Apex of the World (Rain),,The Apex of the World (Rain),,Spiral of Erebos,The Apex of the World (Rain),Spiral of Erebos,Spiral of Erebos,The Apex of the World (Rain),The Apex of the World (Rain),
204,INTERCEPTION - Town in Upheaval (Stage1),Prowler,21,26,47,5,Prowler,,,,INTERCEPTION - Town in Upheaval (Stage1),Prowler,INTERCEPTION - Town in Upheaval (Stage1),,,,,Prowler,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),Prowler,,Prowler,,Prowler,,,Prowler,INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),Prowler,,Prowler,Prowler,INTERCEPTION - Town in Upheaval (Stage1),Prowler,Prowler,INTERCEPTION - Town in Upheaval (Stage1),Prowler,INTERCEPTION - Town in Upheaval (Stage1),Prowler,,,Prowler,Prowler,,,INTERCEPTION - Town in Upheaval (Stage1),Prowler,,Prowler,Prowler,,,,,,,INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),Prowler,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),,Prowler,,INTERCEPTION - Town in Upheaval (Stage1),,Prowler,INTERCEPTION - Town in Upheaval (Stage1),,,,,,INTERCEPTION - Town in Upheaval (Stage1),,Prowler,,INTERCEPTION - Town in Upheaval (Stage1),Prowler,Prowler,Prowler,Prowler,INTERCEPTION - Town in Upheaval (Stage1),
205,Shining Eyes,"Let's Go, Mt. Corel!",24,26,50,2,"Let's Go, Mt. Corel!",,"Let's Go, Mt. Corel!",,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",,,,Shining Eyes,,"Let's Go, Mt. Corel!",Shining Eyes,"Let's Go, Mt. Corel!",,"Let's Go, Mt. Corel!",Shining Eyes,,Shining Eyes,"Let's Go, Mt. Corel!",,,Shining Eyes,,Shining Eyes,Shining Eyes,,Shining Eyes,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",Shining Eyes,"Let's Go, Mt. Corel!",,Shining Eyes,"Let's Go, Mt. Corel!",Shining Eyes,,,Shining Eyes,"Let's Go, Mt. Corel!",,,Shining Eyes,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!","Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",,,,,,Shining Eyes,"Let's Go, Mt. Corel!",,"Let's Go, Mt. Corel!",Shining Eyes,Shining Eyes,"Let's Go, Mt. Corel!",Shining Eyes,Shining Eyes,,"Let's Go, Mt. Corel!",,Shining Eyes,,Shining Eyes,,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",,,,,,"Let's Go, Mt. Corel!",,Shining Eyes,,Shining Eyes,Shining Eyes,Shining Eyes,"Let's Go, Mt. Corel!","Let's Go, Mt. Corel!","Let's Go, Mt. Corel!",
206,Jungle Journey,Kind Lady (Funk Disco Extended Mix),24,27,51,3,Kind Lady (Funk Disco Extended Mix),,,Kind Lady (Funk Disco Extended Mix),Jungle Journey,Kind Lady (Funk Disco Extended Mix),,,,Jungle Journey,,Jungle Journey,Jungle Journey,Jungle Journey,,Jungle Journey,Jungle Journey,,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,,Kind Lady (Funk Disco Extended Mix),,Kind Lady (Funk Disco Extended Mix),Jungle Journey,,Jungle Journey,Jungle Journey,Jungle Journey,Jungle Journey,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Jungle Journey,Jungle Journey,,,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,,,,,Jungle Journey,Kind Lady (Funk Disco Extended Mix),,Jungle Journey,Jungle Journey,Kind Lady (Funk Disco Extended Mix),Jungle Journey,Jungle Journey,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,Kind Lady (Funk Disco Extended Mix),,Jungle Journey,,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,,,,,Jungle Journey,,Kind Lady (Funk Disco Extended Mix),,Jungle Journey,Kind Lady (Funk Disco Extended Mix),Jungle Journey,Jungle Journey,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),
