ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,afrono,andy,arti,az,bane,barrel,bebr,bitto,boss,cako,chaeix,chaos,collen,dan,dem,deo,dire,dis,dowolf,drj133,ema,fl81,gall,gin,haste,hb,hbj,horita,hotdog,hunj,hunt,isquen,janus,jona,jungle,kama,kcf,kecleon,kong,korji,lasa,lefty,lem,lilly,mac,maple,mark,max,mega,mihark,monkey,neko,nfun,ogura,p0,para,place,plas,pony,prince,prod,prody,pyre,rwlh,sea,sergio,skull,sly,taff,tazzy,tgs,tked,tre,tunnel,turus,uf8,ulti,wave,xuxon,xx521,zel,zts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Did You See the Ocean?,Upsky of Fire Land,29,24,53,5,Did You See the Ocean?,,Did You See the Ocean?,Did You See the Ocean?,Upsky of Fire Land,,Did You See the Ocean?,,Upsky of Fire Land,Did You See the Ocean?,Did You See the Ocean?,,,,Did You See the Ocean?,Upsky of Fire Land,Upsky of Fire Land,,Did You See the Ocean?,Upsky of Fire Land,Upsky of Fire Land,Did You See the Ocean?,Did You See the Ocean?,Did You See the Ocean?,Upsky of Fire Land,Upsky of Fire Land,,Did You See the Ocean?,Did You See the Ocean?,Upsky of Fire Land,Did You See the Ocean?,Upsky of Fire Land,,Did You See the Ocean?,Did You See the Ocean?,Upsky of Fire Land,Upsky of Fire Land,,Upsky of Fire Land,Upsky of Fire Land,,,,,Upsky of Fire Land,Did You See the Ocean?,,Upsky of Fire Land,Upsky of Fire Land,,Did You See the Ocean?,Did You See the Ocean?,,,,Did You See the Ocean?,,,Upsky of Fire Land,,Upsky of Fire Land,Upsky of Fire Land,Upsky of Fire Land,Did You See the Ocean?,,Did You See the Ocean?,,,Did You See the Ocean?,Did You See the Ocean?,,Upsky of Fire Land,,Did You See the Ocean?,,Did You See the Ocean?,Upsky of Fire Land,Did You See the Ocean?,Did You See the Ocean?,,Did You See the Ocean?,Upsky of Fire Land,,Did You See the Ocean?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Liminality,Mysterious Planet (Another World),30,23,53,7,Liminality,,Liminality,Liminality,Mysterious Planet (Another World),,Mysterious Planet (Another World),,Mysterious Planet (Another World),Liminality,Mysterious Planet (Another World),,,,Mysterious Planet (Another World),Mysterious Planet (Another World),Mysterious Planet (Another World),,Mysterious Planet (Another World),Liminality,Liminality,Liminality,Liminality,Mysterious Planet (Another World),Liminality,Mysterious Planet (Another World),,Liminality,Mysterious Planet (Another World),Mysterious Planet (Another World),Liminality,Mysterious Planet (Another World),,Mysterious Planet (Another World),Liminality,Liminality,Liminality,,Liminality,Mysterious Planet (Another World),,,,,Mysterious Planet (Another World),Liminality,,Liminality,Liminality,,Liminality,Liminality,,,,Liminality,,,Liminality,,Liminality,Mysterious Planet (Another World),Mysterious Planet (Another World),Liminality,,Mysterious Planet (Another World),,,Liminality,Mysterious Planet (Another World),,Mysterious Planet (Another World),,Liminality,,Liminality,Liminality,Liminality,Mysterious Planet (Another World),,Mysterious Planet (Another World),Liminality,,Liminality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Stage 5 - Research Facility,Miralodia Expressway,24,29,53,5,Miralodia Expressway,,Miralodia Expressway,Stage 5 - Research Facility,Miralodia Expressway,,Miralodia Expressway,,,Stage 5 - Research Facility,Miralodia Expressway,,,,Stage 5 - Research Facility,Miralodia Expressway,Stage 5 - Research Facility,,Stage 5 - Research Facility,Stage 5 - Research Facility,Miralodia Expressway,Miralodia Expressway,Miralodia Expressway,Stage 5 - Research Facility,Stage 5 - Research Facility,Miralodia Expressway,,Stage 5 - Research Facility,Miralodia Expressway,Stage 5 - Research Facility,Stage 5 - Research Facility,Miralodia Expressway,,Miralodia Expressway,Miralodia Expressway,Stage 5 - Research Facility,Stage 5 - Research Facility,,Stage 5 - Research Facility,Miralodia Expressway,,,,,Stage 5 - Research Facility,Miralodia Expressway,,Stage 5 - Research Facility,Stage 5 - Research Facility,,Miralodia Expressway,Stage 5 - Research Facility,,,,Miralodia Expressway,,,Miralodia Expressway,,Stage 5 - Research Facility,Miralodia Expressway,Miralodia Expressway,Stage 5 - Research Facility,,Miralodia Expressway,Stage 5 - Research Facility,,Stage 5 - Research Facility,Miralodia Expressway,,Miralodia Expressway,,Miralodia Expressway,,Miralodia Expressway,Stage 5 - Research Facility,Miralodia Expressway,Stage 5 - Research Facility,,Miralodia Expressway,Miralodia Expressway,,Miralodia Expressway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Entry into The Crater -PART2-,FIGHT!! Ver.1,26,28,54,2,FIGHT!! Ver.1,,FIGHT!! Ver.1,Entry into The Crater -PART2-,FIGHT!! Ver.1,FIGHT!! Ver.1,Entry into The Crater -PART2-,,FIGHT!! Ver.1,,Entry into The Crater -PART2-,,,,FIGHT!! Ver.1,Entry into The Crater -PART2-,FIGHT!! Ver.1,,FIGHT!! Ver.1,FIGHT!! Ver.1,FIGHT!! Ver.1,,FIGHT!! Ver.1,Entry into The Crater -PART2-,FIGHT!! Ver.1,Entry into The Crater -PART2-,,Entry into The Crater -PART2-,FIGHT!! Ver.1,FIGHT!! Ver.1,Entry into The Crater -PART2-,Entry into The Crater -PART2-,,FIGHT!! Ver.1,Entry into The Crater -PART2-,Entry into The Crater -PART2-,Entry into The Crater -PART2-,,FIGHT!! Ver.1,Entry into The Crater -PART2-,,,,,FIGHT!! Ver.1,FIGHT!! Ver.1,,Entry into The Crater -PART2-,FIGHT!! Ver.1,,Entry into The Crater -PART2-,FIGHT!! Ver.1,,,,Entry into The Crater -PART2-,,,Entry into The Crater -PART2-,,FIGHT!! Ver.1,Entry into The Crater -PART2-,FIGHT!! Ver.1,Entry into The Crater -PART2-,,FIGHT!! Ver.1,FIGHT!! Ver.1,,Entry into The Crater -PART2-,Entry into The Crater -PART2-,,Entry into The Crater -PART2-,FIGHT!! Ver.1,Entry into The Crater -PART2-,,FIGHT!! Ver.1,Entry into The Crater -PART2-,FIGHT!! Ver.1,Entry into The Crater -PART2-,,FIGHT!! Ver.1,Entry into The Crater -PART2-,,FIGHT!! Ver.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,No One Cares About the Letter L,Stage 6,28,24,52,4,No One Cares About the Letter L,,Stage 6,No One Cares About the Letter L,Stage 6,Stage 6,Stage 6,,,,No One Cares About the Letter L,,,,Stage 6,No One Cares About the Letter L,Stage 6,,Stage 6,No One Cares About the Letter L,No One Cares About the Letter L,,No One Cares About the Letter L,No One Cares About the Letter L,Stage 6,No One Cares About the Letter L,,No One Cares About the Letter L,No One Cares About the Letter L,Stage 6,No One Cares About the Letter L,No One Cares About the Letter L,,Stage 6,No One Cares About the Letter L,No One Cares About the Letter L,No One Cares About the Letter L,,Stage 6,Stage 6,,,,,Stage 6,Stage 6,,Stage 6,No One Cares About the Letter L,,No One Cares About the Letter L,No One Cares About the Letter L,,,,No One Cares About the Letter L,,,Stage 6,,Stage 6,No One Cares About the Letter L,No One Cares About the Letter L,Stage 6,,Stage 6,No One Cares About the Letter L,,No One Cares About the Letter L,No One Cares About the Letter L,,Stage 6,No One Cares About the Letter L,No One Cares About the Letter L,,Stage 6,Stage 6,Stage 6,No One Cares About the Letter L,,,Stage 6,,No One Cares About the Letter L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,At Her Doorstep (Aspera 1),assemble,18,35,53,17,assemble,,At Her Doorstep (Aspera 1),assemble,At Her Doorstep (Aspera 1),assemble,At Her Doorstep (Aspera 1),,,,assemble,,,,assemble,assemble,assemble,,assemble,At Her Doorstep (Aspera 1),assemble,,assemble,assemble,assemble,At Her Doorstep (Aspera 1),,assemble,assemble,At Her Doorstep (Aspera 1),assemble,assemble,,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),assemble,assemble,,assemble,assemble,,,,,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),,assemble,assemble,,At Her Doorstep (Aspera 1),assemble,,,,assemble,,,assemble,,At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),At Her Doorstep (Aspera 1),assemble,,assemble,assemble,,assemble,At Her Doorstep (Aspera 1),,At Her Doorstep (Aspera 1),assemble,At Her Doorstep (Aspera 1),,assemble,assemble,assemble,assemble,,At Her Doorstep (Aspera 1),assemble,,assemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Auld Lang Syne,Neo Land,27,26,53,1,Auld Lang Syne,,Neo Land,Auld Lang Syne,Neo Land,Auld Lang Syne,Auld Lang Syne,,Neo Land,,,,,,Auld Lang Syne,Neo Land,Neo Land,,Neo Land,Neo Land,Neo Land,,Neo Land,Neo Land,Auld Lang Syne,Neo Land,,Auld Lang Syne,Neo Land,Auld Lang Syne,Auld Lang Syne,Neo Land,,Auld Lang Syne,Neo Land,Auld Lang Syne,Auld Lang Syne,,Auld Lang Syne,Neo Land,,,,,Neo Land,Auld Lang Syne,,Auld Lang Syne,Neo Land,,Auld Lang Syne,Neo Land,,,,Neo Land,,,Auld Lang Syne,,Auld Lang Syne,Neo Land,Neo Land,Auld Lang Syne,,Auld Lang Syne,Neo Land,,Neo Land,Auld Lang Syne,,Neo Land,Neo Land,Auld Lang Syne,,Auld Lang Syne,Neo Land,Auld Lang Syne,Auld Lang Syne,,Auld Lang Syne,Auld Lang Syne,,Auld Lang Syne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,STARRY NIGHT FEVER,"In Hell We Live, Lament",30,23,53,7,STARRY NIGHT FEVER,,STARRY NIGHT FEVER,"In Hell We Live, Lament",STARRY NIGHT FEVER,"In Hell We Live, Lament","In Hell We Live, Lament",,STARRY NIGHT FEVER,,,,,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,STARRY NIGHT FEVER,,"In Hell We Live, Lament","In Hell We Live, Lament",STARRY NIGHT FEVER,,STARRY NIGHT FEVER,"In Hell We Live, Lament","In Hell We Live, Lament","In Hell We Live, Lament",,STARRY NIGHT FEVER,STARRY NIGHT FEVER,"In Hell We Live, Lament","In Hell We Live, Lament",STARRY NIGHT FEVER,,STARRY NIGHT FEVER,"In Hell We Live, Lament","In Hell We Live, Lament","In Hell We Live, Lament",,STARRY NIGHT FEVER,STARRY NIGHT FEVER,,,,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,,"In Hell We Live, Lament",STARRY NIGHT FEVER,,"In Hell We Live, Lament",STARRY NIGHT FEVER,,,,STARRY NIGHT FEVER,,,STARRY NIGHT FEVER,,"In Hell We Live, Lament","In Hell We Live, Lament","In Hell We Live, Lament",STARRY NIGHT FEVER,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,,"In Hell We Live, Lament",STARRY NIGHT FEVER,,"In Hell We Live, Lament",STARRY NIGHT FEVER,"In Hell We Live, Lament",,STARRY NIGHT FEVER,"In Hell We Live, Lament","In Hell We Live, Lament",STARRY NIGHT FEVER,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,,STARRY NIGHT FEVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Obtain An Unused Whale In The Abstract Sea,The Apex of the World (Rain),30,23,53,7,Obtain An Unused Whale In The Abstract Sea,,The Apex of the World (Rain),Obtain An Unused Whale In The Abstract Sea,The Apex of the World (Rain),The Apex of the World (Rain),Obtain An Unused Whale In The Abstract Sea,,The Apex of the World (Rain),,,,,,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,The Apex of the World (Rain),The Apex of the World (Rain),,The Apex of the World (Rain),Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,The Apex of the World (Rain),The Apex of the World (Rain),Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),Obtain An Unused Whale In The Abstract Sea,,The Apex of the World (Rain),Obtain An Unused Whale In The Abstract Sea,,,,,Obtain An Unused Whale In The Abstract Sea,The Apex of the World (Rain),,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,,,Obtain An Unused Whale In The Abstract Sea,,,Obtain An Unused Whale In The Abstract Sea,,The Apex of the World (Rain),The Apex of the World (Rain),Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,The Apex of the World (Rain),The Apex of the World (Rain),,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,The Apex of the World (Rain),The Apex of the World (Rain),,The Apex of the World (Rain),Obtain An Unused Whale In The Abstract Sea,The Apex of the World (Rain),Obtain An Unused Whale In The Abstract Sea,,The Apex of the World (Rain),Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,At Tokione,Head Scratcher,34,20,54,14,At Tokione,,Head Scratcher,Head Scratcher,At Tokione,Head Scratcher,,,,,At Tokione,,,,At Tokione,Head Scratcher,At Tokione,,Head Scratcher,At Tokione,Head Scratcher,At Tokione,Head Scratcher,At Tokione,Head Scratcher,At Tokione,,Head Scratcher,At Tokione,At Tokione,At Tokione,At Tokione,,At Tokione,At Tokione,Head Scratcher,Head Scratcher,,At Tokione,At Tokione,,,,,Head Scratcher,At Tokione,,At Tokione,At Tokione,,At Tokione,Head Scratcher,At Tokione,,,Head Scratcher,,,Head Scratcher,,At Tokione,At Tokione,At Tokione,Head Scratcher,,Head Scratcher,Head Scratcher,,At Tokione,At Tokione,,At Tokione,At Tokione,At Tokione,,At Tokione,At Tokione,Head Scratcher,At Tokione,,At Tokione,At Tokione,,Head Scratcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Sanctuary,Ultramarine Deep,34,19,53,15,Sanctuary,,Ultramarine Deep,Sanctuary,Ultramarine Deep,Sanctuary,,,,,Sanctuary,,,,Sanctuary,Ultramarine Deep,Ultramarine Deep,,Ultramarine Deep,Sanctuary,Sanctuary,Sanctuary,Sanctuary,,Ultramarine Deep,Ultramarine Deep,,Sanctuary,Sanctuary,Sanctuary,Ultramarine Deep,Ultramarine Deep,,Sanctuary,Sanctuary,Sanctuary,Sanctuary,,Sanctuary,Sanctuary,,,,,Ultramarine Deep,Sanctuary,,Ultramarine Deep,Sanctuary,,Sanctuary,Ultramarine Deep,Sanctuary,,,Ultramarine Deep,,,Ultramarine Deep,,Sanctuary,Sanctuary,Ultramarine Deep,Sanctuary,,Ultramarine Deep,Sanctuary,,Sanctuary,Sanctuary,,Sanctuary,Sanctuary,Sanctuary,,Sanctuary,Sanctuary,Ultramarine Deep,Sanctuary,,Ultramarine Deep,Sanctuary,,Ultramarine Deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"Oṃ Maṇi Padme Hūṃ, part II",Trees in the Depths of the Earth,34,18,52,16,"Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",Trees in the Depths of the Earth,,,,,"Oṃ Maṇi Padme Hūṃ, part II",,,,"Oṃ Maṇi Padme Hūṃ, part II",Trees in the Depths of the Earth,Trees in the Depths of the Earth,,Trees in the Depths of the Earth,"Oṃ Maṇi Padme Hūṃ, part II",Trees in the Depths of the Earth,Trees in the Depths of the Earth,Trees in the Depths of the Earth,,Trees in the Depths of the Earth,Trees in the Depths of the Earth,,"Oṃ Maṇi Padme Hūṃ, part II",Trees in the Depths of the Earth,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,,,,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II",Trees in the Depths of the Earth,"Oṃ Maṇi Padme Hūṃ, part II",,,"Oṃ Maṇi Padme Hūṃ, part II",,,Trees in the Depths of the Earth,,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",Trees in the Depths of the Earth,"Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II",Trees in the Depths of the Earth,,Trees in the Depths of the Earth,"Oṃ Maṇi Padme Hūṃ, part II",,Trees in the Depths of the Earth,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,Trees in the Depths of the Earth,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,,Trees in the Depths of the Earth,,"Oṃ Maṇi Padme Hūṃ, part II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Stow-on-Side,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,25,24,49,1,Stow-on-Side,,Stow-on-Side,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Stow-on-Side,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Stow-on-Side,,,,,,,,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Stow-on-Side,,Stow-on-Side,Stow-on-Side,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Stow-on-Side,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Stow-on-Side,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,,Stow-on-Side,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Stow-on-Side,Stow-on-Side,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Stow-on-Side,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,,,,,Stow-on-Side,Stow-on-Side,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Stow-on-Side,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,,,Stow-on-Side,,Stow-on-Side,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Stow-on-Side,,Stow-on-Side,,Stow-on-Side,,Stow-on-Side,Stow-on-Side,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,Stow-on-Side,,Stow-on-Side,Stow-on-Side,,Green Scream (VAMPIRE SAVIOR) CAP-JAMS Ver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Howling of the Crows,The Turks - Tseng and Elena,24,26,50,2,The Turks - Tseng and Elena,,The Turks - Tseng and Elena,The Turks - Tseng and Elena,Howling of the Crows,The Turks - Tseng and Elena,Howling of the Crows,,,,,,,,,Howling of the Crows,Howling of the Crows,,Howling of the Crows,The Turks - Tseng and Elena,The Turks - Tseng and Elena,The Turks - Tseng and Elena,The Turks - Tseng and Elena,Howling of the Crows,Howling of the Crows,The Turks - Tseng and Elena,,The Turks - Tseng and Elena,The Turks - Tseng and Elena,Howling of the Crows,The Turks - Tseng and Elena,Howling of the Crows,,The Turks - Tseng and Elena,Howling of the Crows,,The Turks - Tseng and Elena,,Howling of the Crows,Howling of the Crows,,,,,Howling of the Crows,The Turks - Tseng and Elena,,Howling of the Crows,Howling of the Crows,,The Turks - Tseng and Elena,The Turks - Tseng and Elena,Howling of the Crows,,,The Turks - Tseng and Elena,,,The Turks - Tseng and Elena,,The Turks - Tseng and Elena,,Howling of the Crows,The Turks - Tseng and Elena,,Howling of the Crows,Howling of the Crows,,The Turks - Tseng and Elena,The Turks - Tseng and Elena,,Howling of the Crows,,Howling of the Crows,,The Turks - Tseng and Elena,The Turks - Tseng and Elena,The Turks - Tseng and Elena,Howling of the Crows,,The Turks - Tseng and Elena,Howling of the Crows,,Howling of the Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),30,20,50,10,EXODUS (Full ver.),,Skyway (Hurricane Hoatzin Stage),EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),,,,,,,,,Skyway (Hurricane Hoatzin Stage),Skyway (Hurricane Hoatzin Stage),,EXODUS (Full ver.),EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),EXODUS (Full ver.),EXODUS (Full ver.),EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),EXODUS (Full ver.),,EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),Skyway (Hurricane Hoatzin Stage),EXODUS (Full ver.),EXODUS (Full ver.),,EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),,EXODUS (Full ver.),,EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),,,,,Skyway (Hurricane Hoatzin Stage),EXODUS (Full ver.),,EXODUS (Full ver.),EXODUS (Full ver.),,EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),Skyway (Hurricane Hoatzin Stage),,,EXODUS (Full ver.),,,EXODUS (Full ver.),,EXODUS (Full ver.),,EXODUS (Full ver.),EXODUS (Full ver.),,EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),,EXODUS (Full ver.),EXODUS (Full ver.),,EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),Skyway (Hurricane Hoatzin Stage),,Skyway (Hurricane Hoatzin Stage),EXODUS (Full ver.),EXODUS (Full ver.),Skyway (Hurricane Hoatzin Stage),,,EXODUS (Full ver.),,Skyway (Hurricane Hoatzin Stage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Iclucian Dance,Shiva (Glacier Remix),22,31,53,9,Shiva (Glacier Remix),,Iclucian Dance,,Shiva (Glacier Remix),Iclucian Dance,Shiva (Glacier Remix),,,,Iclucian Dance,,,,,Iclucian Dance,Iclucian Dance,,Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),Iclucian Dance,Iclucian Dance,Iclucian Dance,,Shiva (Glacier Remix),Iclucian Dance,Iclucian Dance,Shiva (Glacier Remix),Iclucian Dance,,Iclucian Dance,Iclucian Dance,Iclucian Dance,Shiva (Glacier Remix),,Iclucian Dance,Shiva (Glacier Remix),,,,,Shiva (Glacier Remix),Shiva (Glacier Remix),,Iclucian Dance,Shiva (Glacier Remix),,Shiva (Glacier Remix),Iclucian Dance,Shiva (Glacier Remix),,,Shiva (Glacier Remix),,,Iclucian Dance,,Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),,Iclucian Dance,Shiva (Glacier Remix),,Shiva (Glacier Remix),Shiva (Glacier Remix),,Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),,Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),,Iclucian Dance,Iclucian Dance,,Iclucian Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Crimson Gate (Long Version),Florest,23,29,52,6,Florest,,Crimson Gate (Long Version),,,Crimson Gate (Long Version),Florest,,,,Florest,,,,,Crimson Gate (Long Version),Crimson Gate (Long Version),,Florest,Florest,Florest,Florest,Florest,Florest,Crimson Gate (Long Version),Crimson Gate (Long Version),,Florest,Crimson Gate (Long Version),Crimson Gate (Long Version),Florest,Florest,,Crimson Gate (Long Version),Florest,Crimson Gate (Long Version),Crimson Gate (Long Version),,Crimson Gate (Long Version),Florest,,,,,Crimson Gate (Long Version),Crimson Gate (Long Version),,Crimson Gate (Long Version),Florest,,Florest,Florest,Florest,,,Crimson Gate (Long Version),,,Florest,,Crimson Gate (Long Version),Florest,Florest,Florest,,Florest,Crimson Gate (Long Version),,Florest,Florest,,Florest,Florest,Crimson Gate (Long Version),,Crimson Gate (Long Version),Florest,Crimson Gate (Long Version),Florest,,Florest,Crimson Gate (Long Version),,Crimson Gate (Long Version),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
