ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,akk,ama,andy,arti,azu,barrel,bebr,cako,cap,chaeix,chaos,collen,crest,dan,dem,deo,devi,dire,dis,dowolf,dragon,drj133,ema,fivda,fl81,flam,gall,gba,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,kama,kcf,kid,koala,korji,lasa,lefty,lem,mac,marg,mark,max,mega,mihark,moon,mzero,nfun,orange,p0,pablo,para,pixel,place,plas,pony,prince,prod,prody,pyre,rev,rika,rwlh,sceptile,sergio,shark,skull,sly,taffer,tazzy,tennis,tgs,tked,tre,tunnel,turus,uf8,wave,xx521,yhen,zel
190,"Reach for the Moon, Immortal Smoke",Dialga's Fight to the Finish!,20,33,53,13,Dialga's Fight to the Finish!,,,,"Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!,,"Reach for the Moon, Immortal Smoke",,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!,"Reach for the Moon, Immortal Smoke",,Dialga's Fight to the Finish!,,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,"Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",Dialga's Fight to the Finish!,,"Reach for the Moon, Immortal Smoke",Dialga's Fight to the Finish!,,,Dialga's Fight to the Finish!,,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,,,,Dialga's Fight to the Finish!,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!,,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",,,,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,"Reach for the Moon, Immortal Smoke",Dialga's Fight to the Finish!,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,
191,The Grand Finale,To Far Away Times,19,36,55,17,To Far Away Times,,,,To Far Away Times,,To Far Away Times,To Far Away Times,,To Far Away Times,,The Grand Finale,,The Grand Finale,,To Far Away Times,,To Far Away Times,The Grand Finale,,The Grand Finale,To Far Away Times,,The Grand Finale,,To Far Away Times,The Grand Finale,,The Grand Finale,,,To Far Away Times,To Far Away Times,The Grand Finale,To Far Away Times,The Grand Finale,To Far Away Times,,The Grand Finale,To Far Away Times,,To Far Away Times,The Grand Finale,,,To Far Away Times,,To Far Away Times,To Far Away Times,To Far Away Times,,To Far Away Times,The Grand Finale,,The Grand Finale,,,To Far Away Times,The Grand Finale,To Far Away Times,The Grand Finale,To Far Away Times,,To Far Away Times,,To Far Away Times,To Far Away Times,,,,,To Far Away Times,The Grand Finale,To Far Away Times,To Far Away Times,,To Far Away Times,The Grand Finale,The Grand Finale,,,To Far Away Times,To Far Away Times,To Far Away Times,To Far Away Times,To Far Away Times,To Far Away Times,To Far Away Times,The Grand Finale,,
192,Northeast Frost Street,MNN+@0・(Day),33,27,60,6,Northeast Frost Street,,,,MNN+@0・(Day),,MNN+@0・(Day),Northeast Frost Street,,MNN+@0・(Day),,,,Northeast Frost Street,,Northeast Frost Street,,Northeast Frost Street,Northeast Frost Street,,Northeast Frost Street,,,MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),Northeast Frost Street,,Northeast Frost Street,,MNN+@0・(Day),Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,,MNN+@0・(Day),,MNN+@0・(Day),Northeast Frost Street,MNN+@0・(Day),MNN+@0・(Day),Northeast Frost Street,Northeast Frost Street,,MNN+@0・(Day),,MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),,,MNN+@0・(Day),Northeast Frost Street,MNN+@0・(Day),,,Northeast Frost Street,MNN+@0・(Day),MNN+@0・(Day),MNN+@0・(Day),Northeast Frost Street,,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,MNN+@0・(Day),Northeast Frost Street,,Northeast Frost Street,,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,,Northeast Frost Street,MNN+@0・(Day),MNN+@0・(Day),,,MNN+@0・(Day),Northeast Frost Street,Northeast Frost Street,MNN+@0・(Day),Northeast Frost Street,MNN+@0・(Day),Northeast Frost Street,Northeast Frost Street,,MNN+@0・(Day)
193,Samsara,Purple Town,29,30,59,1,Purple Town,,,,Samsara,,Samsara,Samsara,,Purple Town,,,,Samsara,,Samsara,,Purple Town,Samsara,,Purple Town,,,Samsara,Samsara,Purple Town,Samsara,,Samsara,,Purple Town,Purple Town,Purple Town,Purple Town,Purple Town,,Samsara,,Purple Town,Purple Town,Purple Town,Samsara,Purple Town,Samsara,,Samsara,,Samsara,Purple Town,Samsara,,,Purple Town,Purple Town,Samsara,,,Purple Town,Purple Town,Samsara,Samsara,Samsara,,Purple Town,Samsara,Purple Town,Samsara,Samsara,,Purple Town,,Purple Town,Purple Town,Samsara,Purple Town,,Samsara,Samsara,Samsara,,,Purple Town,Samsara,Samsara,Purple Town,Purple Town,Purple Town,,Purple Town,,Purple Town
194,They Who Govern Reason,Banbard (Piano Version),24,32,56,8,Banbard (Piano Version),,,,Banbard (Piano Version),They Who Govern Reason,They Who Govern Reason,They Who Govern Reason,,They Who Govern Reason,,They Who Govern Reason,,Banbard (Piano Version),,They Who Govern Reason,Banbard (Piano Version),Banbard (Piano Version),They Who Govern Reason,,Banbard (Piano Version),Banbard (Piano Version),,Banbard (Piano Version),Banbard (Piano Version),Banbard (Piano Version),Banbard (Piano Version),,They Who Govern Reason,,Banbard (Piano Version),They Who Govern Reason,They Who Govern Reason,Banbard (Piano Version),Banbard (Piano Version),,They Who Govern Reason,,They Who Govern Reason,Banbard (Piano Version),Banbard (Piano Version),They Who Govern Reason,Banbard (Piano Version),They Who Govern Reason,,Banbard (Piano Version),,Banbard (Piano Version),Banbard (Piano Version),They Who Govern Reason,,,Banbard (Piano Version),Banbard (Piano Version),They Who Govern Reason,,,Banbard (Piano Version),Banbard (Piano Version),Banbard (Piano Version),They Who Govern Reason,They Who Govern Reason,,,Banbard (Piano Version),Banbard (Piano Version),,Banbard (Piano Version),Banbard (Piano Version),They Who Govern Reason,,They Who Govern Reason,Banbard (Piano Version),Banbard (Piano Version),They Who Govern Reason,,They Who Govern Reason,Banbard (Piano Version),,,,Banbard (Piano Version),They Who Govern Reason,They Who Govern Reason,They Who Govern Reason,Banbard (Piano Version),Banbard (Piano Version),They Who Govern Reason,Banbard (Piano Version),,They Who Govern Reason
195,Moonlight Concert,Wind Scene,30,24,54,6,Moonlight Concert,,,,Wind Scene,Wind Scene,Wind Scene,Wind Scene,,,,,,Moonlight Concert,,Wind Scene,Wind Scene,Wind Scene,Wind Scene,,Moonlight Concert,Moonlight Concert,Wind Scene,Moonlight Concert,Moonlight Concert,,Moonlight Concert,,Moonlight Concert,,,Moonlight Concert,Wind Scene,Wind Scene,Moonlight Concert,,Wind Scene,Wind Scene,Moonlight Concert,Moonlight Concert,Moonlight Concert,Moonlight Concert,Wind Scene,,,Wind Scene,,Wind Scene,Moonlight Concert,Moonlight Concert,,,Moonlight Concert,Moonlight Concert,,,,Moonlight Concert,,Moonlight Concert,Moonlight Concert,Wind Scene,,,,Moonlight Concert,Moonlight Concert,,,Wind Scene,,Moonlight Concert,Wind Scene,Moonlight Concert,Moonlight Concert,,Moonlight Concert,Moonlight Concert,Wind Scene,,,Wind Scene,,Moonlight Concert,Moonlight Concert,Moonlight Concert,,Wind Scene,Wind Scene,,Wind Scene
196,Azure Archipelago,We Are Burning Rangers (English Version),27,26,53,1,Azure Archipelago,,,,Azure Archipelago,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Azure Archipelago,,,,,,We Are Burning Rangers (English Version),,Azure Archipelago,,Azure Archipelago,Azure Archipelago,,Azure Archipelago,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),,We Are Burning Rangers (English Version),,,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,,We Are Burning Rangers (English Version),Azure Archipelago,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Azure Archipelago,Azure Archipelago,Azure Archipelago,,,Azure Archipelago,,Azure Archipelago,We Are Burning Rangers (English Version),Azure Archipelago,,,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),,,,Azure Archipelago,,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),,,,We Are Burning Rangers (English Version),Azure Archipelago,,,We Are Burning Rangers (English Version),,Azure Archipelago,Azure Archipelago,We Are Burning Rangers (English Version),Azure Archipelago,,We Are Burning Rangers (English Version),We Are Burning Rangers (English Version),Azure Archipelago,,,Azure Archipelago,,We Are Burning Rangers (English Version),Azure Archipelago,We Are Burning Rangers (English Version),,Azure Archipelago,Azure Archipelago,,We Are Burning Rangers (English Version)
197,KANNANSHINKU,Lost Forest,21,33,54,12,Lost Forest,,,,Lost Forest,Lost Forest,KANNANSHINKU,KANNANSHINKU,,,,,,Lost Forest,,Lost Forest,Lost Forest,KANNANSHINKU,Lost Forest,,KANNANSHINKU,Lost Forest,Lost Forest,Lost Forest,KANNANSHINKU,,KANNANSHINKU,,KANNANSHINKU,,,Lost Forest,Lost Forest,Lost Forest,Lost Forest,,Lost Forest,Lost Forest,KANNANSHINKU,KANNANSHINKU,Lost Forest,Lost Forest,KANNANSHINKU,,,Lost Forest,,KANNANSHINKU,KANNANSHINKU,Lost Forest,,,Lost Forest,KANNANSHINKU,,,,Lost Forest,,Lost Forest,KANNANSHINKU,KANNANSHINKU,,,,KANNANSHINKU,KANNANSHINKU,,,Lost Forest,,KANNANSHINKU,KANNANSHINKU,Lost Forest,Lost Forest,,Lost Forest,KANNANSHINKU,Lost Forest,,,Lost Forest,,Lost Forest,Lost Forest,Lost Forest,,Lost Forest,KANNANSHINKU,,Lost Forest
198,Beat the Diamonds,SHININ' QUEEN,21,32,53,11,SHININ' QUEEN,,,,SHININ' QUEEN,,Beat the Diamonds,SHININ' QUEEN,,,,,,SHININ' QUEEN,Beat the Diamonds,SHININ' QUEEN,,Beat the Diamonds,SHININ' QUEEN,,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,Beat the Diamonds,,,Beat the Diamonds,,Beat the Diamonds,,Beat the Diamonds,SHININ' QUEEN,SHININ' QUEEN,,SHININ' QUEEN,SHININ' QUEEN,Beat the Diamonds,SHININ' QUEEN,SHININ' QUEEN,,,Beat the Diamonds,SHININ' QUEEN,,,,,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,,,SHININ' QUEEN,Beat the Diamonds,Beat the Diamonds,,,SHININ' QUEEN,Beat the Diamonds,SHININ' QUEEN,Beat the Diamonds,Beat the Diamonds,,SHININ' QUEEN,Beat the Diamonds,Beat the Diamonds,Beat the Diamonds,,,,,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,,SHININ' QUEEN,SHININ' QUEEN,Beat the Diamonds,,,Beat the Diamonds,,Beat the Diamonds,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,Beat the Diamonds,,
199,Subterranean Sunrise,for you,26,25,51,1,Subterranean Sunrise,,,,Subterranean Sunrise,,for you,Subterranean Sunrise,,,,,,Subterranean Sunrise,for you,for you,,for you,for you,,Subterranean Sunrise,for you,Subterranean Sunrise,Subterranean Sunrise,,,for you,,for you,,Subterranean Sunrise,for you,for you,,for you,Subterranean Sunrise,for you,Subterranean Sunrise,for you,,,for you,Subterranean Sunrise,,,,,Subterranean Sunrise,for you,Subterranean Sunrise,,,Subterranean Sunrise,Subterranean Sunrise,Subterranean Sunrise,,,Subterranean Sunrise,Subterranean Sunrise,for you,Subterranean Sunrise,Subterranean Sunrise,,Subterranean Sunrise,for you,Subterranean Sunrise,Subterranean Sunrise,,,,,for you,,Subterranean Sunrise,for you,,Subterranean Sunrise,for you,Subterranean Sunrise,,,Subterranean Sunrise,,for you,for you,for you,for you,,for you,,
200,The Apex of the World (Rain),Beware the Umbrella Left There Forever,28,29,57,1,Beware the Umbrella Left There Forever,,,,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),,,Beware the Umbrella Left There Forever,,,,Beware the Umbrella Left There Forever,The Apex of the World (Rain),Beware the Umbrella Left There Forever,Beware the Umbrella Left There Forever,Beware the Umbrella Left There Forever,The Apex of the World (Rain),,The Apex of the World (Rain),Beware the Umbrella Left There Forever,,The Apex of the World (Rain),Beware the Umbrella Left There Forever,,Beware the Umbrella Left There Forever,,Beware the Umbrella Left There Forever,,,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),Beware the Umbrella Left There Forever,Beware the Umbrella Left There Forever,The Apex of the World (Rain),,The Apex of the World (Rain),Beware the Umbrella Left There Forever,,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),,Beware the Umbrella Left There Forever,,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),,,The Apex of the World (Rain),Beware the Umbrella Left There Forever,,,,Beware the Umbrella Left There Forever,The Apex of the World (Rain),The Apex of the World (Rain),The Apex of the World (Rain),Beware the Umbrella Left There Forever,,Beware the Umbrella Left There Forever,Beware the Umbrella Left There Forever,Beware the Umbrella Left There Forever,Beware the Umbrella Left There Forever,Beware the Umbrella Left There Forever,,Beware the Umbrella Left There Forever,,Beware the Umbrella Left There Forever,The Apex of the World (Rain),The Apex of the World (Rain),Beware the Umbrella Left There Forever,,Beware the Umbrella Left There Forever,The Apex of the World (Rain),,,,The Apex of the World (Rain),,The Apex of the World (Rain),Beware the Umbrella Left There Forever,Beware the Umbrella Left There Forever,Beware the Umbrella Left There Forever,The Apex of the World (Rain),Beware the Umbrella Left There Forever,,
201,The Sunleth Waterscape,Tokyo,38,18,56,20,The Sunleth Waterscape,,,,The Sunleth Waterscape,The Sunleth Waterscape,The Sunleth Waterscape,,,,,,,The Sunleth Waterscape,The Sunleth Waterscape,The Sunleth Waterscape,,The Sunleth Waterscape,The Sunleth Waterscape,,Tokyo,The Sunleth Waterscape,,Tokyo,Tokyo,The Sunleth Waterscape,The Sunleth Waterscape,,Tokyo,,,The Sunleth Waterscape,The Sunleth Waterscape,The Sunleth Waterscape,The Sunleth Waterscape,The Sunleth Waterscape,The Sunleth Waterscape,,The Sunleth Waterscape,The Sunleth Waterscape,,Tokyo,Tokyo,Tokyo,,The Sunleth Waterscape,,Tokyo,The Sunleth Waterscape,The Sunleth Waterscape,,,Tokyo,Tokyo,,,,Tokyo,The Sunleth Waterscape,The Sunleth Waterscape,The Sunleth Waterscape,The Sunleth Waterscape,,The Sunleth Waterscape,Tokyo,The Sunleth Waterscape,Tokyo,The Sunleth Waterscape,,The Sunleth Waterscape,,The Sunleth Waterscape,Tokyo,The Sunleth Waterscape,Tokyo,,The Sunleth Waterscape,The Sunleth Waterscape,The Sunleth Waterscape,,,Tokyo,,The Sunleth Waterscape,Tokyo,Tokyo,The Sunleth Waterscape,,The Sunleth Waterscape,,
202,Banbard (Chroma Remix),Epicentre,27,31,58,4,Epicentre,,,,Banbard (Chroma Remix),Banbard (Chroma Remix),Epicentre,,,Banbard (Chroma Remix),,,,Banbard (Chroma Remix),Epicentre,Epicentre,Epicentre,Banbard (Chroma Remix),,,Banbard (Chroma Remix),Banbard (Chroma Remix),,Epicentre,Epicentre,Banbard (Chroma Remix),Epicentre,,Banbard (Chroma Remix),,,Banbard (Chroma Remix),Epicentre,Epicentre,Epicentre,Banbard (Chroma Remix),Banbard (Chroma Remix),,Banbard (Chroma Remix),Banbard (Chroma Remix),,Epicentre,Banbard (Chroma Remix),Epicentre,,Epicentre,,Banbard (Chroma Remix),Banbard (Chroma Remix),Epicentre,,,Banbard (Chroma Remix),Banbard (Chroma Remix),,,,Epicentre,Epicentre,Epicentre,Epicentre,Epicentre,,Epicentre,Epicentre,Banbard (Chroma Remix),Epicentre,Banbard (Chroma Remix),Banbard (Chroma Remix),Epicentre,,Banbard (Chroma Remix),Epicentre,Epicentre,Epicentre,,Epicentre,Banbard (Chroma Remix),Epicentre,,,Epicentre,,Banbard (Chroma Remix),Epicentre,Epicentre,Banbard (Chroma Remix),,Banbard (Chroma Remix),,
203,Suna Gin,Me and My Little War,31,26,57,5,Suna Gin,,,,Suna Gin,Suna Gin,Suna Gin,,,,,,,Me and My Little War,Me and My Little War,Suna Gin,,Me and My Little War,Me and My Little War,,Suna Gin,Suna Gin,,Suna Gin,Me and My Little War,Me and My Little War,Suna Gin,,Suna Gin,,,Me and My Little War,Suna Gin,Suna Gin,Me and My Little War,Me and My Little War,Suna Gin,,Suna Gin,Me and My Little War,,Suna Gin,Me and My Little War,Me and My Little War,,Suna Gin,,Suna Gin,,Me and My Little War,,,Suna Gin,Me and My Little War,,,,,Suna Gin,Me and My Little War,Suna Gin,Suna Gin,,Me and My Little War,Suna Gin,Suna Gin,Me and My Little War,Suna Gin,Me and My Little War,Suna Gin,,Suna Gin,Me and My Little War,Me and My Little War,Me and My Little War,,Suna Gin,Me and My Little War,Suna Gin,,,Me and My Little War,,Suna Gin,Me and My Little War,Suna Gin,Me and My Little War,Suna Gin,Me and My Little War,,Suna Gin
204,Can You Feel the Sunshine?,Blue Whitecaps,34,23,57,11,Can You Feel the Sunshine?,,,,Blue Whitecaps,Can You Feel the Sunshine?,Can You Feel the Sunshine?,,,,,,,Can You Feel the Sunshine?,Blue Whitecaps,Can You Feel the Sunshine?,,Blue Whitecaps,Can You Feel the Sunshine?,,Blue Whitecaps,Can You Feel the Sunshine?,,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Blue Whitecaps,Can You Feel the Sunshine?,,Blue Whitecaps,,,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Blue Whitecaps,Can You Feel the Sunshine?,Can You Feel the Sunshine?,,Can You Feel the Sunshine?,Can You Feel the Sunshine?,,Blue Whitecaps,Can You Feel the Sunshine?,Blue Whitecaps,,Blue Whitecaps,,Blue Whitecaps,,Blue Whitecaps,,,Blue Whitecaps,Can You Feel the Sunshine?,,,,Blue Whitecaps,Can You Feel the Sunshine?,Blue Whitecaps,Blue Whitecaps,Blue Whitecaps,,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Blue Whitecaps,Can You Feel the Sunshine?,,Can You Feel the Sunshine?,,Can You Feel the Sunshine?,Blue Whitecaps,Can You Feel the Sunshine?,Blue Whitecaps,,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Blue Whitecaps,,,Blue Whitecaps,,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Blue Whitecaps,Can You Feel the Sunshine?,Can You Feel the Sunshine?,Can You Feel the Sunshine?,,Can You Feel the Sunshine?
205,Ragna Breakers,Crystal Caves,29,25,54,4,Ragna Breakers,,,,Ragna Breakers,Ragna Breakers,Ragna Breakers,Ragna Breakers,,,,,,Crystal Caves,Crystal Caves,Crystal Caves,,Crystal Caves,Ragna Breakers,,Crystal Caves,Ragna Breakers,Crystal Caves,Ragna Breakers,Ragna Breakers,,Crystal Caves,,Ragna Breakers,,Crystal Caves,Crystal Caves,Ragna Breakers,Crystal Caves,Crystal Caves,Ragna Breakers,Ragna Breakers,Crystal Caves,Ragna Breakers,Ragna Breakers,,Crystal Caves,Crystal Caves,Crystal Caves,,Crystal Caves,,Crystal Caves,Ragna Breakers,Crystal Caves,,,Crystal Caves,Crystal Caves,Ragna Breakers,,,,Ragna Breakers,Ragna Breakers,Ragna Breakers,Ragna Breakers,,Crystal Caves,Ragna Breakers,Ragna Breakers,Ragna Breakers,Ragna Breakers,,Ragna Breakers,,Crystal Caves,Ragna Breakers,Crystal Caves,Ragna Breakers,,Crystal Caves,Ragna Breakers,Crystal Caves,,,Ragna Breakers,,Ragna Breakers,Crystal Caves,Ragna Breakers,Crystal Caves,Crystal Caves,Ragna Breakers,,Ragna Breakers
206,Ring Ring Ring!,Aria Math,26,28,54,2,Aria Math,,,,Ring Ring Ring!,Ring Ring Ring!,Aria Math,,,,,,,Ring Ring Ring!,Ring Ring Ring!,Ring Ring Ring!,,Ring Ring Ring!,Aria Math,,Aria Math,,,Ring Ring Ring!,Ring Ring Ring!,Aria Math,Ring Ring Ring!,,Ring Ring Ring!,,,Aria Math,Ring Ring Ring!,Ring Ring Ring!,Aria Math,,Aria Math,Aria Math,Ring Ring Ring!,Aria Math,,Ring Ring Ring!,Aria Math,Aria Math,,Aria Math,,Ring Ring Ring!,Ring Ring Ring!,Aria Math,,,Aria Math,Aria Math,,,,Aria Math,Ring Ring Ring!,Aria Math,Ring Ring Ring!,Aria Math,,,Aria Math,Ring Ring Ring!,Ring Ring Ring!,Aria Math,,Ring Ring Ring!,,Ring Ring Ring!,Aria Math,Aria Math,Aria Math,,Aria Math,Ring Ring Ring!,Aria Math,,,Aria Math,,Ring Ring Ring!,Aria Math,Aria Math,Ring Ring Ring!,,Ring Ring Ring!,,
207,The Last Specter's Theme,Apollo,37,18,55,19,The Last Specter's Theme,,,,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,,,,,,,Apollo,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,Apollo,The Last Specter's Theme,,The Last Specter's Theme,,,The Last Specter's Theme,The Last Specter's Theme,Apollo,The Last Specter's Theme,,The Last Specter's Theme,,,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,Apollo,,The Last Specter's Theme,The Last Specter's Theme,Apollo,Apollo,,The Last Specter's Theme,Apollo,The Last Specter's Theme,,The Last Specter's Theme,,The Last Specter's Theme,The Last Specter's Theme,Apollo,,,The Last Specter's Theme,Apollo,,,,Apollo,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,The Last Specter's Theme,,,The Last Specter's Theme,Apollo,The Last Specter's Theme,The Last Specter's Theme,Apollo,The Last Specter's Theme,,The Last Specter's Theme,,Apollo,Apollo,,The Last Specter's Theme,Apollo,The Last Specter's Theme,,,Apollo,,The Last Specter's Theme,Apollo,Apollo,,The Last Specter's Theme,The Last Specter's Theme,,
208,Remnants of Celestial (Stage 3),Trajectory of the Kiyarora Satellite (Long Version),24,30,54,6,Trajectory of the Kiyarora Satellite (Long Version),,,,Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),Trajectory of the Kiyarora Satellite (Long Version),,,,,,,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),,Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),,,Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),,,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),Trajectory of the Kiyarora Satellite (Long Version),,Remnants of Celestial (Stage 3),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),,Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),,Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),Trajectory of the Kiyarora Satellite (Long Version),,,Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),,,,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),Remnants of Celestial (Stage 3),,,Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),,Trajectory of the Kiyarora Satellite (Long Version),,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),,Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Remnants of Celestial (Stage 3),,,Trajectory of the Kiyarora Satellite (Long Version),,Remnants of Celestial (Stage 3),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),Trajectory of the Kiyarora Satellite (Long Version),,Remnants of Celestial (Stage 3),,
209,Frozen Grounds,Alabaster Icelands 1,29,25,54,4,Frozen Grounds,,,,Frozen Grounds,Frozen Grounds,Frozen Grounds,,,Alabaster Icelands 1,,,,Frozen Grounds,Alabaster Icelands 1,,,Alabaster Icelands 1,Frozen Grounds,,Alabaster Icelands 1,Frozen Grounds,,Alabaster Icelands 1,,Frozen Grounds,Frozen Grounds,,Frozen Grounds,,,Frozen Grounds,Alabaster Icelands 1,Frozen Grounds,Alabaster Icelands 1,,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,,Alabaster Icelands 1,Alabaster Icelands 1,,,Frozen Grounds,,Frozen Grounds,Frozen Grounds,Frozen Grounds,,,Frozen Grounds,Frozen Grounds,Alabaster Icelands 1,,,Alabaster Icelands 1,Alabaster Icelands 1,Frozen Grounds,Alabaster Icelands 1,Alabaster Icelands 1,,Alabaster Icelands 1,Frozen Grounds,Frozen Grounds,Frozen Grounds,Frozen Grounds,,Frozen Grounds,,,Frozen Grounds,Alabaster Icelands 1,Alabaster Icelands 1,,Frozen Grounds,Frozen Grounds,Frozen Grounds,,,Frozen Grounds,,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,Alabaster Icelands 1,,Frozen Grounds,,
210,Rainbow after snow,Portugal,32,23,55,9,Rainbow after snow,,,,Portugal,Rainbow after snow,Rainbow after snow,,,Portugal,,,,Portugal,Rainbow after snow,Rainbow after snow,,Rainbow after snow,Portugal,,Portugal,Rainbow after snow,,Rainbow after snow,,Rainbow after snow,Portugal,,Rainbow after snow,,,Rainbow after snow,Portugal,Rainbow after snow,Rainbow after snow,,Rainbow after snow,Portugal,Rainbow after snow,Rainbow after snow,,Portugal,Rainbow after snow,,,Portugal,,Portugal,Rainbow after snow,Rainbow after snow,,,Portugal,Rainbow after snow,Rainbow after snow,,,Portugal,Rainbow after snow,Portugal,Portugal,Portugal,,Portugal,Rainbow after snow,Rainbow after snow,Portugal,,Rainbow after snow,Rainbow after snow,,,Portugal,Rainbow after snow,Portugal,,Portugal,Rainbow after snow,Portugal,,,Rainbow after snow,,Rainbow after snow,Rainbow after snow,Portugal,Rainbow after snow,,Rainbow after snow,,
